SECT;SAL92;AGE;EXPERI;SEX
1;51573;26;2;0
1;52308;27;2;0
1;80282;31;4;0
1;49275;25;2;0
1;52174;28;3;0
1;54670;27;3;1
1;84507;28;2;0
1;28986;28;3;0
1;47619;26;1;0
1;59640;29;5;0
1;58220;30;3;0
1;38462;27;2;0
1;51746;29;3;0
1;60976;29;1;0
1;47226;27;2;0
1;64466;27;2;0
1;59640;27;3;0
1;59640;27;3;0
1;58220;28;3;0
1;56522;32;4;0
1;32308;29;3;0
1;42308;32;6;1
1;55072;33;3;0
1;14493;27;3;0
1;55072;33;5;0
1;59640;27;2;0
1;56098;28;3;0
1;50633;30;3;0
1;43478;24;2;1
1;57971;32;4;0
1;44020;28;3;0
1;55797;28;3;0
1;95141;30;5;1
1;62319;30;4;0
1;85200;30;5;0
1;41903;29;2;0
1;35500;31;5;0
1;59420;28;3;0
1;33058;26;2;0
1;28986;31;3;0
1;49700;29;3;0
1;63043;30;4;0
1;62319;29;3;0
1;42503;29;3;0
1;74550;31;4;0
1;38462;28;4;0
1;56671;31;4;0
1;51948;29;3;0
1;58537;29;3;0
1;63900;29;3;0
1;57971;26;2;1
1;38462;28;3;0
1;59420;26;2;0
1;45126;31;3;0
1;38680;28;3;0
1;58220;26;2;1
1;71000;25;3;0
1;52540;30;4;0
1;43478;29;3;0
1;34783;29;4;0
1;50725;28;3;0
1;63900;28;3;1
1;40102;28;3;0
1;48280;30;3;0
1;78100;28;4;0
1;35676;28;3;0
1;49275;32;5;0
1;50725;32;4;0
1;43478;27;3;1
1;47805;27;4;0
1;47101;27;3;0
1;54054;30;4;0
1;42600;28;4;1
1;71000;26;3;0
1;68293;35;5;1
1;60976;34;4;0
1;53659;29;4;0
1;58481;32;4;0
1;42503;28;4;0
1;40000;25;3;1
1;52174;34;5;0
1;63514;27;3;0
1;62319;29;4;1
1;54054;27;2;1
1;59640;27;3;0
1;50725;29;4;0
1;62574;33;6;0
1;63415;27;2;0
1;49700;29;4;1
1;77465;25;2;0
1;57971;26;3;1
1;34783;27;2;0
1;72464;34;6;0
1;60350;27;3;0
1;56757;28;3;0
1;43077;32;5;0
