AGE;EXPERIENCE;NO COMP;NO JOBS;SAL 78;SAL 83 CON;SAL 83 CUR;SAL 78 REL;SAL 83 REL;GMAT;GRADE
29,00;2,00;2,00;2,00;29000,00;36000,00;57000,00;4,00;7,00;640,00;3,70
29,00;4,00;1,00;1,00;22000,00;39000,00;39000,00;2,40;7,60;420,00;2,20
27,00;1,00;1,00;5,00;26000,00;32000,00;50000,00;2,90;6,20;460,00;2,20
24,00;1,00;2,00;3,00;20000,00;26000,00;42000,00;2,20;5,10;620,00;3,20
30,00;4,00;1,00;1,00;29000,00;33000,00;53000,00;3,20;6,40;510,00;2,40
28,00;2,00;1,00;1,00;29000,00;36000,00;48000,00;3,20;7,00;470,00;3,00
25,00;1,00;1,00;3,00;22000,00;36000,00;57000,00;2,40;7,00;530,00;2,40
30,00;2,00;1,00;4,00;24000,00;33000,00;53000,00;2,70;6,40;570,00;2,00
26,00;4,00;1,00;1,00;26000,00;36000,00;57000,00;2,90;7,00;460,00;2,20
25,00;1,00;1,00;2,00;22000,00;30000,00;48000,00;2,40;5,90;520,00;2,30
29,00;4,00;1,00;4,00;29000,00;45000,00;72000,00;3,20;8,80;630,00;2,20
26,00;2,00;1,00;2,00;26000,00;28000,00;44000,00;2,90;5,50;550,00;2,40
25,00;2,00;1,00;2,00;24000,00;35000,00;56000,00;2,70;6,80;610,00;2,80
23,00;1,00;1,00;3,00;23000,00;50000,00;79000,00;2,50;9,80;460,00;2,00
25,00;2,00;1,00;2,00;25000,00;44000,00;48000,00;1,40;2,70;620,00;2,90
27,00;2,00;1,00;3,00;24000,00;73000,00;73000,00;2,70;4,10;490,00;2,30
32,00;5,00;1,00;2,00;35000,00;44000,00;49000,00;3,00;2,70;660,00;2,40
32,00;5,00;2,00;2,00;24000,00;30000,00;37000,00;3,30;6,70;750,00;3,70
28,00;5,00;1,00;3,00;22000,00;39000,00;49000,00;3,00;8,80;470,00;2,80
30,00;5,00;3,00;4,00;37000,00;39000,00;49000,00;5,10;8,80;560,00;3,20
26,00;2,00;2,00;2,00;24000,00;45000,00;56000,00;3,30;10,00;550,00;3,60
28,00;2,00;1,00;3,00;53000,00;150000,00;160000,00;3,60;9,00;350,00;1,70
29,00;2,00;1,00;2,00;30000,00;33000,00;40000,00;2,20;2,20;390,00;2,20
29,00;1,00;2,00;2,00;27000,00;50000,00;59000,00;1,90;3,40;330,00;1,90
25,00;2,00;2,00;2,00;20000,00;48000,00;77000,00;2,20;5,10;650,00;3,30
28,00;4,00;1,00;2,00;40000,00;83000,00;91000,00;2,70;5,20;420,00;2,80
29,00;2,00;2,00;3,00;25000,00;40000,00;40000,00;2,00;2,20;630,00;2,70
35,00;5,00;2,00;2,00;40000,00;160000,00;160000,00;3,10;9,00;490,00;1,50
22,00;1,00;2,00;2,00;25000,00;32000,00;50000,00;2,80;3,40;500,00;2,00
25,00;2,00;1,00;1,00;36000,00;55000,00;55000,00;2,50;6,00;500,00;2,40
21,00;1,00;1,00;4,00;22000,00;40000,00;40000,00;1,70;4,20;570,00;2,00
27,00;4,00;1,00;4,00;26000,00;41000,00;66000,00;2,50;4,30;460,00;1,80
26,00;2,00;1,00;2,00;33000,00;28000,00;44000,00;2,50;2,90;430,00;2,40
31,00;5,00;3,00;3,00;25000,00;41000,00;66000,00;2,80;4,30;600,00;1,90
25,00;1,00;1,00;2,00;24000,00;61000,00;97000,00;2,70;6,40;430,00;2,00
25,00;1,00;2,00;2,00;24000,00;28000,00;47000,00;2,80;2,60;530,00;2,60
24,00;1,00;2,00;2,00;25000,00;21000,00;32000,00;1,70;1,70;460,00;3,00
29,00;4,00;1,00;3,00;35000,00;62000,00;62000,00;2,50;3,50;510,00;3,60
